TRAIT	TODO	Date_last_edited	Primary(1),Secondary(2) Variable	GRS available? 	User checked trait	Comment	Definition explanation for manuscript	Type (Trait/Medicine/Operation/Family History)	Category	CompositeVariable	DESCRIPTION	Exclude_from_cases	Study_population	Exclude_from_controls	Include_definitions	ICD10	ICD9	OPCS4	OPCS3	READ2	READ2_drugs	CTV3	BNF	DMD	TS(Touchscreen)	f.20001(sr_cancer)	f.20002(sr_noncancer)	f.20003(sr_med)	f.20004(sr_oper)	Minimum_Episode_duration	include_secondary
NCad		08-11-2016	1					Trait	cardiovascular disease		Non-cardiac arterial disease (incl. aneurysms)				CvaInfTia,NCadInt,Pad	I670(Dissection of cerebral arteries, nonruptured),I671(Cerebral aneurysm, nonruptured),I71(Aortic aneurysm and dissection),I72(Other aneurysm)	4373, 441, 442										1492 (aortic aneurysm), 1425 (cerebral aneurysm), 1591 (aortic aneurysm rupture)			0	1
PadInt		08-11-2016						Operation	cardiovascular disease		Intervention/surgery for peripheral artery disease in extremities							L37,L381,L383,L384,L391,L392,L395,L48,L49,L50,L51,L52,L53,L541,L542,L544,L56,L57,L58,L59,L60,L62,L631,L632,L635,L638,L639,L653							5529=1,5540=1				1102 (fem-pop bypass/leg artery bypass), 1103 (leg artery aneurysm repair), 1108 (leg artery angioplasty +/- stent)	0	1
NCadInt		08-11-2016						Operation	cardiovascular disease		Intervention/surgery for non-cardiac arterial disease							L16,L18,L19,L20,L21,L22,L23,L25,L261,L262,L263,L265,L266,L268,L269,L27,L28,L29,L301,L303,L304,L311,L313,L314,L33,L34,L351,L353,L355,L41,L421,L424,L428,L429,L431,L432,L435,L45,L461,L464,L471,L474,L651,L652,L658,L659,L661,L662,L665,L667,L68,L701,L705,L711,L712,L715,L716,L717,O01,O02,O03											1071 (other arterial surgery/revascularisation procedures), 1104 (aortic aneurysm/repair or stent), 1105 (carotid artery surgery/endarterectomy), 1106 (cerebral artery aneurysm surgery or clipping), 1107 (non-coronary artery angioplasty +/- stent), 1109 (carotid artery angioplasty +/- stent), 1110 (renal artery angioplasty +/- stent), 1555 (femoral/popliteal/iliac aneurysm repair)	0	1
Tb		08-11-2016	1		YE			Trait	cardiovascular disease		Thrombosis				TbDvt	I81(Portal vein thrombosis)	452 (Portal vein thrombosis), 4340 (Cerebral thrombosis), 4376 (Nonpyogenic thrombosis of intracranial venous sinus), 59382 (Renal artery thrombosis)													0	1
TbDvt		06-05-2021	1		MWY			Trait	cardiovascular disease		Deep venous thrombosis (DVT)					O223 (Deep phlebothrombosis in pregnancy)	6713 (Deep phlebothrombosis, antepartum), 6714 (Deep phlebothrombosis, postpartum)								6152=5[4012]		1094 (deep venous thrombosis)			0	1
TbPe		06-05-2021	1		MWY			Trait	cardiovascular disease		Pulmonary Embolism					I26(Pulmonary embolism),O882 (Obstetric blood-clot embolism)	4151(Pulmonary embolism), 6732 (Obstetrical blood-clot embolism)								6152=7[4022]		1093 (pulmonary embolism +/- dvt)			0	1
Te		08-11-2016	1	GRS available (2015 http://www.cell.com/ajhg/abstract/S0002-9297(15)00051-8) 	YE			Trait	cardiovascular disease		Thromboembolism				TbPe	I74 (Arterial embolism and thrombosis), I82(Other venous embolism and thrombosis)	4341 (Cerebral embolism), 444 (Arterial embolism and thrombosis), 453(Other venous embolism and thrombosis), 59381 (Renal artery embolism)										1068 (venous thromboembolic disease)			0	1
Headache		04-07-2017					includes headache that intefered with activities for 3+ months	Trait	neurology		Headache (aspecific)				HeadMig	G44(Other headache syndromes),R51(Headache)	7840(Headache) 								3799=1		1436 (headaches not migraine)			0	1
HeadMig		04-07-2017	1					Trait	neurology		Headache (migraine, cluster headache)					G43(Migraine)	346(Migraine)										1265 (migraine)			0	1
Pd		04-07-2017	1			Excluded secondary parkinsonism		Trait	neurology		Parkinson's disease (Paralysis agitans)					G20(Parkinson's disease),F023(Dementia in Parkinson's disease)	3320 (Paralysis agitans)				dq,dr, x05qy	dq,dr, x05qy					1262 (parkinsons disease)	1140856586,1140864274,1140872320,1140872330,1140872336,1140872338,1140872348,1140872360,1140872370,1140872420,1140872434,1140910516,1140923754,1140923816,1140926950,1140928338,1141150682,1141152896,1141152904,1141164060,1141164068,1141164872,1141169666,1141169700,1141169704,1141171798,1141189134,1141199942,1140856664,1140856670,1140872378,1140872382,1140872448,1140872450,1140872460,1140872520,1140872522,1140872532,1140872538,1140872542,1141146030,1141189132		0	1
